,GO_term,pfam_id,GO_id,GO_level,count,GO_idx
193,L-arabinose isomerase activity,PF02610,GO:0008733,function,1,825
81,CDP-diacylglycerol diphosphatase activity,PF02611,GO:0008715,function,1,826
887,glucuronate isomerase activity,PF02614,GO:0008880,function,1,827
1630,protein catabolic process,PF02617,GO:0030163,process,2,828
1455,peroxiredoxin activity,PF02627,GO:0051920,function,2,829
1401,"oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor",PF02628,GO:0016653,function,1,830
1769,regulation of DNA repair,PF02631,GO:0006282,process,2,831
502,biotin transport,PF02632,GO:0015878,process,1,832
2000,sulfurtransferase activity,PF02634,GO:0016783,function,1,833
540,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",PF02637,GO:0016884,function,1,834
172,GTP cyclohydrolase activity,PF02649,GO:0003933,function,2,835
1068,lactate transport,PF02652,GO:0015727,process,1,836
378,adenosylcobinamide-GDP ribazoletransferase activity,PF02654,GO:0051073,function,1,837
372,acyl-phosphate glycerol-3-phosphate acyltransferase activity,PF02660,GO:0043772,function,1,838
284,S-ribosylhomocysteine lyase activity,PF02664,GO:0043768,function,1,839
1492,phosphatidylserine decarboxylase activity,PF02666,GO:0004609,function,1,840
242,P-type potassium transmembrane transporter activity,PF02669,GO:0008556,function,3,841
234,NADPH binding,PF02670,GO:0070402,function,1,842
2148,undecaprenyl-diphosphatase activity,PF02673,GO:0050380,function,1,843
2067,toxin biosynthetic process,PF02674,GO:0009403,process,1,844
1968,spermidine biosynthetic process,PF02675,GO:0008295,process,1,845
1090,lipid-A-disaccharide synthase activity,PF02684,GO:0008915,function,2,846
879,glucokinase activity,PF02685,GO:0004340,function,1,847
1832,regulation of translational fidelity,PF02686,GO:0006450,process,1,848
928,helicase activity,PF02689,GO:0004386,function,6,849
1959,sodium-dependent phosphate transport,PF02690,GO:0044341,process,1,850
1641,protein histidine kinase activity,PF02702,GO:0004673,function,8,851
1602,potassium ion transmembrane transporter activity,PF02705,GO:0015079,function,2,852
810,exit of virus from host cell nucleus by nuclear egress,PF02718,GO:0046802,process,1,853
2175,viral budding from Golgi membrane,PF02723,GO:0046760,process,1,854
547,carboxyl- or carbamoyltransferase activity,PF02729,GO:0016743,function,3,855
1971,spliceosomal complex,PF02731,GO:0005681,component,4,856
908,glycerone kinase activity,PF02733,GO:0004371,function,2,857
756,double-strand break repair via nonhomologous end joining,PF02735,GO:0006303,process,5,858
2097,transition metal ion binding,PF02742,GO:0046914,function,4,859
641,"chromosome, telomeric region",PF02765,GO:0000781,component,3,860
413,amino acid biosynthetic process,PF02774,GO:0008652,process,2,861
883,glucose-6-phosphate dehydrogenase activity,PF02781,GO:0004345,function,1,862
770,electron transport chain,PF02790,GO:0022900,process,6,863
817,exon-exon junction complex,PF02792,GO:0035145,component,2,864
2068,toxin metabolic process,PF02794,GO:0009404,process,1,865
554,cation binding,PF02806,GO:0043169,function,1,866
1546,plasminogen activation,PF02821,GO:0031639,process,1,867
1296,negative regulation of protein kinase activity,PF02827,GO:0006469,process,1,868
1949,small molecule binding,PF02829,GO:0036094,function,1,869
1736,pyrophosphatase activity,PF02833,GO:0016462,function,1,870
270,RNA splicing,PF02840,GO:0008380,process,3,871
1726,purine nucleobase biosynthetic process,PF02843,GO:0009113,process,2,872
2141,ubiquitin binding,PF02845,GO:0043130,function,8,873
446,arginine binding,PF02863,GO:0034618,function,1,874
1173,methylated-DNA-[protein]-cysteine S-methyltransferase activity,PF02870,GO:0003908,function,1,875
1366,nucleotide catabolic process,PF02872,GO:0009166,process,1,876
319,UDP-N-acetylmuramate dehydrogenase activity,PF02873,GO:0008762,function,1,877
55,ATP metabolic process,PF02874,GO:0046034,process,1,878
1042,intramolecular phosphotransferase activity,PF02878,GO:0016868,function,3,879
520,calcium-activated potassium channel activity,PF02888,GO:0015269,function,2,880
1317,nitric oxide biosynthetic process,PF02898,GO:0006809,process,1,881
842,ferrous iron binding,PF02900,GO:0008198,function,1,882
2095,transformation of host cell by virus,PF02907,GO:0019087,process,2,883
1270,negative regulation of DNA-templated transcription,PF02909,GO:0045892,process,15,884
1465,phenylalanine-tRNA ligase activity,PF02912,GO:0004826,function,2,885
1015,integrase activity,PF02920,GO:0008907,function,2,886
2139,ubiquinol-cytochrome-c reductase activity,PF02921,GO:0008121,function,3,887
2188,viral procapsid maturation,PF02925,GO:0046797,process,1,888
820,extracellular ligand-gated monoatomic ion channel activity,PF02931,GO:0005230,function,1,889
1258,monoatomic ion transport,PF02932,GO:0006811,process,6,890
1075,ligase activity,PF02934,GO:0016874,function,1,891
1557,polynucleotide 5'-phosphatase activity,PF02940,GO:0004651,function,2,892
1406,"oxidoreductase activity, acting on iron-sulfur proteins as donors",PF02943,GO:0016730,function,1,893
1904,sensory perception of smell,PF02949,GO:0007608,process,2,894
903,glutathione synthase activity,PF02951,GO:0004363,function,4,895
857,fucose metabolic process,PF02952,GO:0006004,process,3,896
38,5-carboxymethyl-2-hydroxymuconate delta-isomerase activity,PF02962,GO:0008704,function,1,897
2132,type II site-specific deoxyribonuclease activity,PF02963,GO:0009036,function,24,898
1165,methane monooxygenase activity,PF02964,GO:0015049,function,1,899
1170,methionine synthase activity,PF02965,GO:0008705,function,1,900
314,U4/U6 x U5 tri-snRNP complex,PF02966,GO:0046540,component,2,901
1595,post-chaperonin tubulin folding pathway,PF02970,GO:0007023,process,1,902
848,folic acid binding,PF02971,GO:0005542,function,2,903
1417,"oxidoreductase activity, acting on the CH-NH2 group of donors",PF02975,GO:0016638,function,3,904
126,DNA restriction-modification system,PF02980,GO:0009307,process,25,905
1147,melanin metabolic process,PF02982,GO:0006582,process,1,906
1502,phospholipase inhibitor activity,PF02988,GO:0004859,function,1,907
1097,lysis of host organelle involved in viral entry into host cell,PF02993,GO:0039664,process,1,908
739,diacylglycerol O-acyltransferase activity,PF03007,GO:0004144,function,1,909
1515,phosphoric diester hydrolase activity,PF03009,GO:0008081,function,2,910
2195,viral transcription,PF03012,GO:0019083,process,6,911
1191,minus-end-directed microtubule motor activity,PF03028,GO:0008569,function,1,912
747,diphosphate hydrolysis-driven proton transmembrane transporter activity,PF03030,GO:0009678,function,1,913
1085,lipid glycosylation,PF03033,GO:0030259,process,1,914
202,L-serine-phosphatidylethanolamine phosphatidyltransferase activity,PF03034,GO:0106245,function,1,915
1577,positive regulation of cell population proliferation,PF03037,GO:0008284,process,3,916
1018,interleukin-12 receptor binding,PF03039,GO:0005143,function,1,917
1467,pheromone activity,PF03047,GO:0005186,function,3,918
684,cysteine-type aminopeptidase activity,PF03051,GO:0070005,function,1,919
1311,nicotianamine biosynthetic process,PF03059,GO:0030418,process,1,920
1324,nitronate monooxygenase activity,PF03060,GO:0018580,function,1,921
1696,protein-arginine deiminase activity,PF03068,GO:0004668,function,2,922
987,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",PF03069,GO:0016811,function,2,923
348,acetylglucosaminyltransferase activity,PF03071,GO:0008375,function,1,924
891,glutamate-cysteine ligase activity,PF03074,GO:0004357,function,3,925
352,acireductone dioxygenase [iron(II)-requiring] activity,PF03079,GO:0010309,function,1,926
1490,"phosphatidylinositol-4,5-bisphosphate binding",PF03081,GO:0005546,function,1,927
1135,mating,PF03082,GO:0007618,process,2,928
1890,root development,PF03087,GO:0048364,process,1,929
1981,strictosidine synthase activity,PF03088,GO:0016844,function,1,930
1853,response to metal ion,PF03091,GO:0010038,process,3,931
1471,phosphatase activator activity,PF03095,GO:0019211,function,1,932
1705,protein-heme linkage,PF03100,GO:0017003,process,1,933
529,carbohydrate biosynthetic process,PF03102,GO:0016051,process,3,934
2194,viral tegument,PF03117,GO:0019033,component,2,935
1618,proteasomal protein catabolic process,PF03136,GO:0010498,process,2,936
1323,nitrogenase activity,PF03139,GO:0016163,function,1,937
1069,laminin binding,PF03146,GO:0043236,function,1,938
818,exonuclease activity,PF03159,GO:0004527,function,1,939
1375,oligopeptide transmembrane transporter activity,PF03169,GO:0035673,function,1,940
322,UDP-glucose metabolic process,PF03170,GO:0006011,process,1,941
2158,vacuolar proton-transporting V-type ATPase complex,PF03179,GO:0016471,component,1,942
2055,threonine-phosphate decarboxylase activity,PF03186,GO:0048472,function,1,943
1711,proton channel activity,PF03189,GO:0015252,function,2,944
1113,mRNA splice site recognition,PF03194,GO:0006376,process,1,945
1155,mercury ion transport,PF03203,GO:0015694,process,3,946
1322,nitrogen fixation,PF03206,GO:0009399,process,7,947
1431,pectate lyase activity,PF03211,GO:0030570,function,2,948
64,ATP:ADP antiporter activity,PF03219,GO:0005471,function,1,949
415,amino acid transmembrane transport,PF03222,GO:0003333,process,1,950
1720,"proton-transporting V-type ATPase, V1 domain",PF03223,GO:0033180,component,1,951
2160,"vacuolar proton-transporting V-type ATPase, V1 domain",PF03224,GO:0000221,component,2,952
1405,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",PF03227,GO:0016671,function,1,953
1657,protein kinase binding,PF03234,GO:0019901,function,4,954
943,high-affinity iron permease complex,PF03239,GO:0033573,component,1,955
397,alkylmercury lyase activity,PF03243,GO:0018836,function,1,956
2192,viral release from host cell by cytolysis,PF03245,GO:0044659,process,4,957
2122,tropomyosin binding,PF03250,GO:0005523,function,1,958
2152,urea transmembrane transporter activity,PF03253,GO:0015204,function,1,959
343,acetyl-CoA carboxylase complex,PF03255,GO:0009317,component,1,960
1653,protein kinase 5 complex,PF03261,GO:0016533,component,1,961
731,deoxyribonuclease II activity,PF03265,GO:0004531,function,1,962
320,UDP-galactopyranose mutase activity,PF03275,GO:0008767,function,1,963
974,host cytoskeleton,PF03276,GO:0044163,component,1,964
1789,regulation of cell shape,PF03285,GO:0008360,process,4,965
1549,poly(A) RNA polymerase activity,PF03296,GO:1990817,function,3,966
2124,"tryptophan 2,3-dioxygenase activity",PF03301,GO:0004833,function,1,967
1145,meiotic drive,PF03303,GO:0110134,process,1,968
341,acetolactate decarboxylase activity,PF03306,GO:0047605,function,1,969
1430,pantothenate kinase activity,PF03309,GO:0004594,function,2,970
201,L-serine ammonia-lyase activity,PF03315,GO:0003941,function,1,971
854,"fructose 1,6-bisphosphate 1-phosphatase activity",PF03320,GO:0042132,function,2,972
1974,spore germination,PF03323,GO:0009847,process,4,973
115,DNA polymerase processivity factor activity,PF03325,GO:0030337,function,1,974
318,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity,PF03331,GO:0008759,function,1,975
167,GDP-mannose biosynthetic process,PF03332,GO:0009298,process,1,976
1008,inorganic cation transmembrane transport,PF03334,GO:0098662,process,1,977
1847,response to antibiotic,PF03340,GO:0046677,process,10,978
1114,"mRNA splicing, via spliceosome",PF03343,GO:0000398,process,12,979
1625,protein N-linked glycosylation via asparagine,PF03345,GO:0018279,process,1,980
136,DNA-3-methyladenine glycosylase activity,PF03352,GO:0008725,function,1,981
2161,vacuolar transport,PF03357,GO:0007034,process,2,982
1932,signaling,PF03359,GO:0023052,process,1,983
868,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity,PF03360,GO:0015018,function,1,984
252,"RNA endonuclease activity, producing 5'-phosphomonoesters",PF03368,GO:0016891,function,1,985
1946,small GTPase binding,PF03378,GO:0031267,function,7,986
933,heme transmembrane transporter activity,PF03379,GO:0015232,function,2,987
1385,organic anion transport,PF03390,GO:0015711,process,1,988
1469,pheromone receptor activity,PF03402,GO:0016503,function,1,989
1247,molybdenum ion binding,PF03404,GO:0030151,function,3,990
370,acyl-[acyl-carrier-protein] desaturase activity,PF03405,GO:0045300,function,1,991
1395,outer membrane-bounded periplasmic space,PF03411,GO:0030288,component,5,992
1707,protein-phosphatidylethanolamide deconjugating activity,PF03416,GO:0019786,function,1,993
458,asexual sporulation,PF03419,GO:0030436,process,6,994
612,chitin catabolic process,PF03427,GO:0006032,process,3,995
338,[protein-PII] uridylyltransferase activity,PF03445,GO:0008773,function,1,996
232,NADP binding,PF03446,GO:0050661,function,7,997
1249,molybdopterin cofactor biosynthetic process,PF03453,GO:0032324,process,2,998
2106,translational termination,PF03462,GO:0006415,process,2,999
1836,regulatory ncRNA-mediated gene silencing,PF03468,GO:0031047,process,3,1000
1466,phenylalanyl-tRNA aminoacylation,PF03484,GO:0006432,process,2,1001
450,arginyl-tRNA aminoacylation,PF03485,GO:0006420,process,2,1002
1917,serotonin:sodium:chloride symporter activity,PF03491,GO:0005335,function,1,1003
519,calcium- and calmodulin-responsive adenylate cyclase activity,PF03497,GO:0008294,function,1,1004
594,cellulose biosynthetic process,PF03500,GO:0030244,process,3,1005
665,connexin complex,PF03509,GO:0005922,component,1,1006
2214,"xylan 1,4-beta-xylosidase activity",PF03512,GO:0009044,function,1,1007
2210,voltage-gated potassium channel complex,PF03521,GO:0008076,component,1,1008
1758,receptor-mediated endocytosis,PF03523,GO:0006898,process,1,1009
1760,reciprocal meiotic recombination,PF03525,GO:0007131,process,5,1010
1948,small conductance calcium-activated potassium channel activity,PF03530,GO:0016286,function,1,1011
1570,positive regulation of GTPase activity,PF03542,GO:0043547,process,1,1012
597,cellulose synthase (UDP-forming) activity,PF03552,GO:0016760,function,1,1013
398,allantoicase activity,PF03561,GO:0004037,function,1,1014
939,heterocyst development,PF03574,GO:0043158,process,1,1015
689,cysteine-type exopeptidase activity,PF03577,GO:0070004,function,1,1016
2119,triglyceride lipase activity,PF03583,GO:0004806,function,2,1017
719,deNEDDylase activity,PF03586,GO:0019784,function,1,1018
1744,rRNA (pseudouridine) methyltransferase activity,PF03587,GO:0070037,function,1,1019
1073,leucyl-tRNA--protein transferase activity,PF03588,GO:0008914,function,1,1020
461,aspartate-ammonia ligase activity,PF03590,GO:0004071,function,1,1021
485,benzoate transmembrane transporter activity,PF03594,GO:0042925,function,1,1022
539,carbon-monoxide dehydrogenase (acceptor) activity,PF03598,GO:0018492,function,1,1023
20,3'-5' exonuclease activity,PF03603,GO:0008408,function,6,1024
77,C4-dicarboxylate transmembrane transporter activity,PF03605,GO:0015556,function,1,1025
892,glutamate:sodium symporter activity,PF03616,GO:0015501,function,1,1026
1687,protein tyrosine kinase activity,PF03623,GO:0004713,function,1,1027
1868,"retromer, cargo-selective complex",PF03635,GO:0030906,component,1,1028
1033,intracellular protein transport,PF03643,GO:0006886,process,31,1029
1131,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity,PF03644,GO:0033925,function,1,1030
2216,xylan catabolic process,PF03648,GO:0045493,process,3,1031
1218,mitochondrial pyruvate transmembrane transport,PF03650,GO:0006850,process,1,1032
877,"glucan endo-1,3-alpha-glucosidase activity",PF03659,GO:0051118,function,1,1033
194,L-arabinose metabolic process,PF03664,GO:0046373,process,3,1034
150,EMC complex,PF03665,GO:0072546,component,1,1035
1272,negative regulation of TOR signaling,PF03666,GO:0032007,process,2,1036
1651,protein insertion into ER membrane,PF03669,GO:0045048,process,2,1037
1691,protein ufmylation,PF03671,GO:0071569,process,3,1038
418,amino sugar metabolic process,PF03702,GO:0006040,process,1,1039
546,carboxy-lyase activity,PF03709,GO:0016831,function,2,1040
335,[glutamate-ammonia-ligase] adenylyltransferase activity,PF03710,GO:0008882,function,1,1041
1731,pyridoxine 5'-phosphate synthase activity,PF03740,GO:0033856,function,1,1042
771,"electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity",PF03742,GO:0045158,function,1,1043
501,biotin biosynthetic process,PF03744,GO:0009102,process,1,1044
775,embryo development ending in seed dormancy,PF03760,GO:0009793,process,1,1045
1013,inositol phosphate biosynthetic process,PF03770,GO:0032958,process,1,1046
565,cell morphogenesis,PF03775,GO:0000902,process,2,1047
1794,regulation of division septum assembly,PF03776,GO:0032955,process,1,1048
1127,mannonate dehydratase activity,PF03786,GO:0008927,function,1,1049
237,Ndc80 complex,PF03800,GO:0031262,component,3,1050
465,attachment of mitotic spindle microtubules to kinetochore,PF03801,GO:0051315,process,1,1051
1617,prosthetic group biosynthetic process,PF03802,GO:0051191,process,1,1052
1543,plasma membrane phospholipid scrambling,PF03803,GO:0017121,process,1,1053
384,adhesion of symbiont to microvasculature,PF03805,GO:0020035,process,1,1054
1427,p-aminobenzoyl-glutamate transmembrane transport,PF03806,GO:1902604,process,1,1055
133,DNA transposition,PF03811,GO:0006313,process,13,1056
14,2-keto-3-deoxygluconate:proton symporter activity,PF03812,GO:0015649,function,1,1057
1257,monoatomic ion transmembrane transporter activity,PF03820,GO:0015075,function,2,1058
1310,nickel cation transmembrane transporter activity,PF03824,GO:0015099,function,1,1059
1359,nucleoside transport,PF03825,GO:0015858,process,1,1060
1382,orexin receptor activity,PF03827,GO:0016499,function,1,1061
109,DNA metabolic process,PF03837,GO:0006259,process,3,1062
787,endoplasmic reticulum membrane,PF03839,GO:0005789,component,19,1063
1709,protein-transporting ATPase activity,PF03840,GO:0015450,function,1,1064
1935,silicic acid import across plasma membrane,PF03842,GO:0015708,process,1,1065
1278,negative regulation of cell division,PF03846,GO:0051782,process,1,1066
2083,transcription factor TFIID complex,PF03847,GO:0005669,component,3,1067
65,ATPase activator activity,PF03849,GO:0001671,function,3,1068
2084,transcription factor TFIIH core complex,PF03850,GO:0000439,component,3,1069
1845,response to UV,PF03851,GO:0009411,process,1,1070
1192,mismatch repair,PF03852,GO:0006298,process,8,1071
1137,mating pheromone activity,PF03855,GO:0000772,function,5,1072
2198,virion attachment to host cell pilus,PF03863,GO:0039666,process,1,1073
1925,sigma factor antagonist activity,PF03872,GO:0016989,function,1,1074
267,RNA polymerase complex,PF03874,GO:0030880,component,1,1075
1783,regulation of bone mineralization,PF03875,GO:0030500,process,1,1076
789,endoplasmic reticulum to Golgi vesicle-mediated transport,PF03878,GO:0006888,process,7,1077
1840,rescue of stalled ribosome,PF03889,GO:0072344,process,1,1078
428,anaerobic respiration,PF03892,GO:0009061,process,1,1079
1666,protein phosphatase regulator activity,PF03907,GO:0019888,function,3,1080
292,SNAP receptor activity,PF03908,GO:0005484,function,1,1081
1531,photosystem II oxygen evolving complex,PF03912,GO:0009654,component,6,1082
1116,mRNA transport,PF03943,GO:0051028,process,2,1083
1061,killing by symbiont of host cells,PF03945,GO:0001907,process,2,1084
894,glutamine biosynthetic process,PF03951,GO:0006542,process,2,1085
198,L-lysine efflux transmembrane transporter activity,PF03956,GO:0015661,function,1,1086
768,egg chorion,PF03964,GO:0042600,component,6,1087
772,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity",PF03967,GO:0045156,function,3,1088
1051,isocitrate dehydrogenase (NADP+) activity,PF03971,GO:0004450,function,1,1089
1460,perturbation of host defenses by symbiont,PF03973,GO:0030682,process,2,1090
1704,protein-glutamine glutaminase activity,PF03975,GO:0050568,function,1,1091
1958,sodium ion transport,PF03977,GO:0006814,process,11,1092
210,MIS12/MIND type complex,PF03980,GO:0000444,component,2,1093
1706,protein-macromolecule adaptor activity,PF03983,GO:0030674,function,2,1094
91,Cdc73/Paf1 complex,PF03985,GO:0016593,component,2,1095
2145,ubiquitin-like protein transferase activity,PF03987,GO:0019787,function,1,1096
790,endosome transport via multivesicular body sorting pathway,PF03997,GO:0032509,process,2,1097
1950,small-subunit processome,PF03998,GO:0032040,component,5,1098
606,checkpoint clamp complex,PF04005,GO:0030896,component,2,1099
214,Mpp10 complex,PF04006,GO:0034457,component,1,1100
2021,tRNA methyltransferase activity,PF04013,GO:0008175,function,2,1101
657,coenzyme A biosynthetic process,PF04019,GO:0015937,process,3,1102
1976,sporulation resulting in formation of a cellular spore,PF04026,GO:0030435,process,4,1103
16,2-phosphosulfolactate phosphatase activity,PF04029,GO:0050532,function,1,1104
97,"D-arabinono-1,4-lactone oxidase activity",PF04030,GO:0003885,function,1,1105
204,Las1 complex,PF04031,GO:0090730,component,1,1106
798,enzyme inhibitor activity,PF04043,GO:0004857,function,3,1107
359,actin cytoskeleton,PF04045,GO:0015629,component,3,1108
2165,vesicle docking involved in exocytosis,PF04048,GO:0006904,process,1,1109
429,anaphase-promoting complex,PF04049,GO:0005680,component,8,1110
1453,periplasmic space,PF04052,GO:0042597,component,13,1111
68,Arp2/3 protein complex,PF04062,GO:0005885,component,4,1112
419,aminoacyl-tRNA editing activity,PF04073,GO:0002161,function,3,1113
2026,tRNA wobble position uridine thiolation,PF04077,GO:0002143,process,1,1114
80,CCR4-NOT complex,PF04078,GO:0030014,component,2,1115
639,chromosome separation,PF04079,GO:0051304,process,1,1116
169,GPI anchor biosynthetic process,PF04080,GO:0006506,process,10,1117
128,DNA synthesis involved in DNA repair,PF04081,GO:0000731,process,1,1118
1390,origin recognition complex,PF04084,GO:0000808,component,1,1119
1929,signal recognition particle receptor complex,PF04086,GO:0005785,component,1,1120
1649,"protein import into peroxisome matrix, docking",PF04088,GO:0016560,process,1,1121
262,RNA polymerase I core promoter sequence-specific DNA binding,PF04090,GO:0001164,function,1,1122
1349,nucleocytoplasmic transport,PF04096,GO:0006913,process,1,1123
1990,structural constituent of nuclear pore,PF04097,GO:0017056,function,4,1124
310,TRAPP complex,PF04099,GO:0030008,component,1,1125
584,cellular modified amino acid biosynthetic process,PF04107,GO:0042398,process,1,1126
468,autophagy,PF04109,GO:0006914,process,5,1127
467,autophagosome assembly,PF04110,GO:0000045,process,1,1128
236,NatC complex,PF04112,GO:0031417,component,1,1129
464,attachment of GPI anchor to protein,PF04113,GO:0016255,process,2,1130
170,GPI-anchor transamidase complex,PF04114,GO:0042765,component,3,1131
2154,ureidoglycolate lyase activity,PF04115,GO:0050385,function,1,1132
1082,lipid biosynthetic process,PF04116,GO:0008610,process,2,1133
179,Golgi transport complex,PF04124,GO:0017119,component,2,1134
871,gamma-tubulin binding,PF04130,GO:0043015,function,2,1135
218,N-acylglucosamine-6-phosphate 2-epimerase activity,PF04131,GO:0047465,function,1,1136
1954,snoRNA binding,PF04135,GO:0030515,function,3,1137
1639,protein folding in endoplasmic reticulum,PF04137,GO:0034975,process,1,1138
1559,polysaccharide biosynthetic process,PF04138,GO:0000271,process,2,1139
76,C-terminal protein methylation,PF04140,GO:0006481,process,1,1140
1735,pyrimidine nucleotide-sugar transmembrane transporter activity,PF04142,GO:0015165,function,1,1141
669,copper ion transmembrane transport,PF04145,GO:0035434,process,1,1142
86,COPII receptor activity,PF04148,GO:0097020,function,1,1143
753,double-strand break repair,PF04152,GO:0006302,process,5,1144
1035,intracellular sterol transport,PF04161,GO:0032366,process,1,1145
1055,karyogamy involved in conjugation with cellular fusion,PF04163,GO:0000742,process,1,1146
1813,regulation of phosphoprotein phosphatase activity,PF04176,GO:0043666,process,3,1147
1821,regulation of signal transduction,PF04177,GO:0009966,process,6,1148
1884,ribosomal small subunit biogenesis,PF04180,GO:0042274,process,2,1149
1922,siderophore biosynthetic process,PF04183,GO:0019290,process,1,1150
402,"alpha-1,6-mannosyltransferase activity",PF04188,GO:0000009,function,1,1151
2016,tRNA (m1A) methyltransferase complex,PF04189,GO:0031515,component,1,1152
457,arylformamidase activity,PF04199,GO:0004061,function,1,1153
2044,tetrahydromethanopterin S-methyltransferase activity,PF04210,GO:0030269,function,6,1154
63,ATP-independent citrate lyase complex,PF04223,GO:0009346,component,1,1155
1446,peptidoglycan binding,PF04225,GO:0042834,function,2,1156
1724,pseudouridylate synthase activity,PF04227,GO:0004730,function,1,1157
1850,response to copper ion,PF04234,GO:0046688,process,1,1158
1350,nucleoid,PF04245,GO:0009295,component,2,1159
462,"aspartic endopeptidase activity, intramembrane cleaving",PF04258,GO:0042500,function,2,1160
2048,thiamine diphosphokinase activity,PF04263,GO:0004788,function,1,1161
2046,thiamine binding,PF04265,GO:0030975,function,1,1162
1894,sarcosine oxidase activity,PF04267,GO:0008115,function,1,1163
1766,regulation of ATPase-coupled calcium transmembrane transporter activity,PF04272,GO:1901894,process,1,1164
623,cholesterol biosynthetic process,PF04275,GO:0006695,process,1,1165
1957,sodium ion transmembrane transporter activity,PF04277,GO:0015081,function,1,1166
636,chromosome condensation,PF04288,GO:0030261,process,3,1167
904,glycerol metabolic process,PF04309,GO:0006071,process,4,1168
112,DNA modification,PF04313,GO:0006304,process,3,1169
333,[acyl-carrier-protein] phosphodiesterase activity,PF04336,GO:0008770,function,1,1170
1790,regulation of chemotaxis,PF04344,GO:0050920,process,1,1171
627,chorismate lyase activity,PF04345,GO:0008813,function,1,1172
804,ethanolamine transport,PF04346,GO:0034229,process,1,1173
480,bacterial-type flagellum organization,PF04347,GO:0044781,process,3,1174
2136,type IV pilus-dependent motility,PF04350,GO:0043107,process,1,1175
569,cell septum assembly,PF04354,GO:0090529,process,3,1176
1728,putrescine biosynthetic process,PF04371,GO:0009446,process,1,1177
451,arginyl-tRNA--protein transferase activity,PF04376,GO:0004057,function,2,1178
1627,protein arginylation,PF04377,GO:0016598,process,2,1179
1747,rRNA base methylation,PF04378,GO:0070475,process,3,1180
673,cortical actin cytoskeleton organization,PF04382,GO:0030866,process,1,1181
181,Gram-negative-bacterium-type cell outer membrane assembly,PF04390,GO:0043165,process,1,1182
1887,ribosome biogenesis,PF04410,GO:0042254,process,7,1183
209,MICOS complex,PF04418,GO:0061617,component,4,1184
2032,tail-anchored membrane protein insertion into ER membrane,PF04420,GO:0071816,process,1,1185
191,K48-linked deubiquitinase activity,PF04424,GO:1990380,function,1,1186
148,Dsl1/NZR complex,PF04437,GO:0070939,component,1,1187
1093,long-chain fatty acid luciferin component ligase activity,PF04443,GO:0047474,function,1,1188
552,"catechol 1,2-dioxygenase activity",PF04444,GO:0018576,function,1,1189
1749,rRNA methylation,PF04445,GO:0031167,process,1,1190
2020,tRNA guanylyltransferase activity,PF04446,GO:0008193,function,1,1191
1854,response to organic substance,PF04453,GO:0010033,process,1,1192
82,CDP-glycerol glycerophosphotransferase activity,PF04464,GO:0047355,function,1,1193
1664,protein phosphatase binding,PF04499,GO:0019903,function,1,1194
749,dolichol-linked oligosaccharide biosynthetic process,PF04506,GO:0006488,process,3,1195
1241,modulation by virus of host cellular process,PF04517,GO:0019054,process,1,1196
2193,viral release via pore formation in host cell membrane,PF04550,GO:0044660,process,1,1197
34,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity,PF04551,GO:0046429,function,1,1198
1539,plant-type cell wall organization,PF04554,GO:0009664,process,1,1199
898,glutaminyl-tRNA aminoacylation,PF04557,GO:0006425,process,1,1200
1268,negative regulation of ATP-dependent activity,PF04568,GO:0032780,process,1,1201
1926,signal peptidase complex,PF04573,GO:0005787,component,3,1202
1640,protein glycosylation,PF04597,GO:0006486,process,9,1203
67,Actinobacterium-type cell wall biogenesis,PF04602,GO:0071766,process,1,1204
923,guanosine tetraphosphate metabolic process,PF04607,GO:0015969,process,1,1205
1481,phosphatidylglycerophosphatase activity,PF04608,GO:0008962,function,2,1206
1676,protein secretion by the type IV secretion system,PF04610,GO:0030255,process,1,1207
1918,sexual reproduction,PF04611,GO:0019953,process,3,1208
1080,lipid A biosynthetic process,PF04613,GO:0009245,process,5,1209
1456,peroxisome,PF04614,GO:0005777,component,4,1210
626,chorion-containing eggshell formation,PF04624,GO:0007304,process,4,1211
1216,"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",PF04627,GO:0000275,component,2,1212
1819,regulation of response to reactive oxygen species,PF04636,GO:1901031,process,1,1213
1741,quorum sensing,PF04647,GO:0009372,process,5,1214
1895,secondary metabolic process,PF04655,GO:0019748,process,1,1215
1463,phenol 2-monooxygenase activity,PF04663,GO:0018662,function,1,1216
1933,signaling receptor activity,PF04664,GO:0038023,function,8,1217
1555,polyketide biosynthetic process,PF04673,GO:0030639,process,1,1218
634,chromatin remodeling,PF04684,GO:0006338,process,11,1219
1273,negative regulation of Wnt signaling pathway,PF04706,GO:0030178,process,1,1220
920,gonad development,PF04709,GO:0008406,process,1,1221
1755,radial spoke,PF04712,GO:0001534,component,1,1222
